latitude,longitude,town,country
15.47467,45.322755,,Yemen
32.30512565,69.57624435,Wana,Pakistan
32.98677989,70.26082993,Toorikhel,Pakistan
32.99988191,70.34082413,Mosaki,Pakistan
33.00866349,70.04196167,Haisori,Pakistan
33.09499311,70.05912781,Saidgai,Pakistan
34.81549453,71.4969635,Damadola,Pakistan
34.83634999,71.49215698,Chenegai,Pakistan
32.83575063,69.55581665,Zamazola,Pakistan
33.09499311,70.05912781,Saidgai,Pakistan
32.98879572,70.28743744,Mami Rogha,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.80285902,70.48690796,Jani Khel,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.30802742,69.45762634,Dhook Pir Bagh,Pakistan
34.81549453,71.4969635,Damadola,Pakistan
32.62780989,69.84283447,Makeen,Pakistan
32.28655215,69.43222046,Zeralita,Pakistan
32.30280417,69.32510376,Bhaggar,Pakistan
32.29758063,69.60062027,Zari Noor,Pakistan
32.1723754,69.33147601,Ganki Khel,Pakistan
32.3219546,69.52079773,Korzai,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.98677989,70.26082993,Unknown,Pakistan
32.99714649,69.72644806,Mohammad Khel,Pakistan
33.03860068,69.53933716,Gurwak,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
33.00211338,70.0756073,Tol Khel,Pakistan
32.50339198,69.28459167,Baghar Cheena,Pakistan
32.96863543,70.35301208,Khushali,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.994267,70.1653862,Tati,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.54131432,69.85279083,Taparghai,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.55100944,69.60783005,Mandata,Pakistan
32.97583606,70.26906967,Asori,Pakistan
32.31760259,69.50054169,Kari Kot,Pakistan
32.74396995,70.06736755,Kumsham,Pakistan
32.7028111,69.86875534,Garyom,Pakistan
32.80285902,70.48690796,Jani Khel,Pakistan
32.98015615,70.06530762,Ali Khel,Pakistan
32.30512565,69.57624435,Wana,Pakistan
32.98649192,70.04608154,Chashma,Pakistan
32.59125977,70.15396057,Kateera,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.97958015,70.08590698,Tapi Tool,Pakistan
32.31760259,69.50054169,Kari Kot,Pakistan
32.29337255,69.49728012,Shin Warsak,Pakistan
32.31760259,69.50054169,Kari Kot,Pakistan
32.53986719,69.88197327,Madin Village,Pakistan
32.95340416,70.26224613,Zharki,Pakistan
32.1723754,69.33147601,Ganki Khel,Pakistan
32.51613104,69.86515045,Narsi Khel,Pakistan
33.68035403,70.29361725,Sur Pul,Pakistan
32.48891359,70.00282288,Sararogha,Pakistan
33.80197352,70.28022766,Barjo,Pakistan
32.80285902,70.48690796,Jani Khel,Pakistan
32.62780989,69.84283447,Makeen,Pakistan
32.96661914,70.31747818,Sokhel,Pakistan
33.66992557,70.91108322,Khadezai,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.1723754,69.33147601,Ganki Khel,Pakistan
32.1723754,69.33147601,Ganki Khel,Pakistan
32.51699955,69.78326797,Kaniguram,Pakistan
32.47776364,70.01981735,Tabbi Langhar Khel,Pakistan
32.29787083,69.34604645,Sara Khwara,Pakistan
33.00348103,70.2725029,Khesoor,Pakistan
32.51569678,69.88162994,Marda Algad,Pakistan
32.30512565,69.57624435,Wana,Pakistan
32.3273218,69.56783295,Raghzai,Pakistan
32.62780989,69.84283447,Makeen,Pakistan
33.0020414,70.06084442,"Lattaka/Najmarai, Makeen",Pakistan
32.5922382,69.61521149,Mantoi,Pakistan
32.28742287,69.99217987,Zamarai Nairai,Pakistan
32.62780989,69.84283447,Makeen,Pakistan
32.52568415,69.85038757,Ladha,Pakistan
32.52568415,69.85038757,Ladha,Pakistan
32.31586172,69.62104797,Painda Khel,Pakistan
32.31586172,69.62104797,Tiyarza,Pakistan
32.70035541,70.06084442,Gariwam,Pakistan
32.52568415,69.85038757,Ladha,Pakistan
32.52568415,69.85038757,Ladha,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.54131432,69.85279083,Taparghai,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
32.98677989,70.26082993,Toorikhel,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
32.48891359,70.00282288,Sararogha,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.98879572,70.32606125,Norak,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
32.86863007,70.14118195,Spalaga,Pakistan
34.81549453,71.4969635,Damadola,Pakistan
32.98879572,70.32606125,Norak,Pakistan
33.01125461,69.83167648,Shanakorah,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
32.86863007,70.14118195,Spalaga,Pakistan
32.52568415,69.85038757,Ladha,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.00146554,69.52835083,Ambar Shaga,Pakistan
32.98217213,69.73880768,Babrak Ziarat,Pakistan
33.09499311,70.05912781,Saidgai,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
32.9929712,70.21207809,Ghundikala,Pakistan
32.99988191,70.34082413,Mosaki,Pakistan
32.98749984,69.75631714,Sanzali,Pakistan
32.98749984,69.75631714,Sanzali,Pakistan
33.00175347,70.01415253,Tappi,Pakistan
32.99455495,69.7338295,Ismail Khel,Pakistan
32.66539062,70.16143799,Shaktoi,Pakistan
32.93550496,70.29584885,Zanani,Pakistan
32.66539062,70.16143799,Shaktoi,Pakistan
32.66539062,70.16143799,Shaktoi,Pakistan
32.96863543,69.70207214,Deegan,Pakistan
32.99714649,69.72644806,Mohammad Khel,Pakistan
32.96863543,69.70207214,Deegan,Pakistan
32.99714649,69.72644806,Mohammad Khel,Pakistan
32.97756412,69.64164734,Pai Khel,Pakistan
32.97410796,69.7262764,Toor Narai,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
33.00175347,70.01415253,Tappi,Pakistan
32.99973794,70.1902771,Tabbi,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.99369109,69.61641312,Mizar Madakhel,Pakistan
32.99369109,69.61641312,Mizar Madakhel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.00664813,69.94308472,Hamzoni,Pakistan
32.99369109,69.61641312,Mizar Madakhel,Pakistan
32.99527483,69.6818161,Inzar,Pakistan
32.98073215,70.05329132,Machis,Pakistan
32.9684554,70.25271893,Hurmuz,Pakistan
33.00175347,70.01415253,Tappi,Pakistan
33.02133047,69.82566833,Boya,Pakistan
33.00146554,69.52835083,Ambar Shaga,Pakistan
32.98677989,70.26082993,Toorikhel,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
32.96863543,70.35301208,Khushali,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.03860068,69.53933716,Gurwak,Pakistan
33.876401,70.84911346,Khyber,Pakistan
33.02133047,69.82566833,Boya,Pakistan
32.28959963,69.29111481,Mizai Nari,Pakistan
32.98879572,70.32606125,Norak,Pakistan
32.99628265,69.65615273,Maizer,Pakistan
32.9700756,70.31078339,Haider Khel,Pakistan
32.96863543,70.35301208,Khushali,Pakistan
32.99973794,70.1902771,Tabbi,Pakistan
32.31760259,69.50054169,Kari Kot,Pakistan
32.994267,69.77253914,Sheerani,Pakistan
32.44923085,69.27858353,Dwasarak,Pakistan
32.66539062,70.16143799,Shaktoi,Pakistan
32.99973794,70.1902771,Tabbi,Pakistan
32.48891359,70.00282288,Sararogha,Pakistan
32.98922767,70.29808044,Issori,Pakistan
32.98418805,70.07663727,Qutab Khel,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
33.68092542,70.41687012,Shahidano,Pakistan
33.47526759,70.38837433,Badshah Kot,Pakistan
33.68778176,70.54870605,Taaloo Ganj,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.97266785,69.71237183,Khar Qamar,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
33.00146554,69.52835083,Ambar Shaga,Pakistan
33.020179,70.07286072,Danda Darpakhel,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.98706787,69.68730927,Newey Adda,Pakistan
33.01845177,69.65503693,Bushnarai,Pakistan
32.98418805,70.07663727,Qutab Khel,Pakistan
33.04694673,70.02033234,Darga Mandi,Pakistan
32.97756412,69.64164734,Pai Khel,Pakistan
32.96863543,69.70207214,Deegan,Pakistan
33.06651369,69.70104218,Darazinda,Pakistan
32.46429497,69.29729462,Khand Morsak,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.144896,70.030518,Lawara Mandi,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.994267,69.77253914,Sheerani,Pakistan
32.96863543,70.35301208,Khushali,Pakistan
32.4784877,69.27841187,Zeba,Pakistan
32.99138742,69.63993073,Asar Village,Pakistan
32.98764382,69.62619781,Inzarkas,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
32.9684554,70.25271893,Hurmuz,Pakistan
32.974684,70.26323318,Khaisoori,Pakistan
32.99714649,69.72644806,Mohammad Khel,Pakistan
33.01326988,69.85313416,Char Khel,Pakistan
32.99052353,70.30460358,Shiva,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.97065166,70.29275894,Aziz Khel,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
32.96863543,69.70207214,Deegan,Pakistan
32.99455495,69.7338295,Ismail Khel,Pakistan
32.9700756,70.31078339,Haider Khel,Pakistan
32.98418805,70.07663727,Qutab Khel,Pakistan
32.96201033,70.33344269,Khaso Khel,Pakistan
32.97756412,69.64164734,Pai Khel,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.0020414,70.06084442,Miranshah,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
32.98879572,70.32606125,Norak,Pakistan
32.97857214,70.28657913,Khaddi,Pakistan
33.00348103,70.2725029,Khesoor,Pakistan
32.99210732,70.19491196,Pir Kelev,Pakistan
32.98462003,70.37618637,Hassan Khel,Pakistan
32.96863543,70.35301208,Khushali,Pakistan
32.98677989,70.26082993,Unknown,Pakistan
32.97093969,70.40039063,Khadar Khel,Pakistan
32.86863007,70.14118195,Spalaga,Pakistan
33.00175347,70.01415253,Tirah Valley,Pakistan
33.75117696,70.75332642,Sandana,Pakistan
33.7845691,70.81134796,Nakai,Pakistan
33.79312909,70.76568604,Speen Drang,Pakistan
32.95653704,70.37910461,Shera Tala,Pakistan
32.99628265,70.30838013,Machi Khel,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.05615526,70.0786972,Ghulam Khan,Pakistan
33.0285268,70.23971558,Mandi Khel,Pakistan
33.0285268,70.23971558,Mandi Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.02133047,69.82566833,Boya,Pakistan
32.99671457,69.75099564,Ghar Laley,Pakistan
32.9700756,70.31078339,Haider Khel,Pakistan
32.99945001,69.60422516,Dashgah,Pakistan
32.99513086,69.62928772,Doga Mada Khel,Pakistan
32.99513086,69.62928772,Doga Mada Khel,Pakistan
32.68850937,69.84815598,Razmak,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.99714649,70.31164169,Malik Jashdar,Pakistan
32.99714649,69.72644806,Mohammad Khel,Pakistan
32.31252497,69.44955826,Landidog,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.00348103,70.2725029,Khesoor,Pakistan
33.00348103,70.2725029,Khesoor,Pakistan
33.08751456,70.27233124,Ghoroski,Pakistan
32.30222379,69.40544128,Azam Warsak,Pakistan
32.86863007,70.14118195,Spalaga,Pakistan
32.99714649,70.31164169,Malik Jashdar,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.48659683,69.28321838,Angor Adda,Pakistan
32.9866359,70.31232834,Spinwan,Pakistan
14.653544,47.009442,,Yemen
33.01175843,69.76086617,Dwa Tooe,Pakistan
32.48659683,69.28321838,Angor Adda,Pakistan
33.151242,70.434707,Datta Khel,Pakistan
32.99513086,69.62928772,Doga Mada Khel,Pakistan
32.98699588,70.35129547,Sandasa Village,Pakistan
32.99347512,70.34794807,Aimarki,Pakistan
33.00175347,70.01415253,Tappi,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
13.12833,45.38028,Zinjibar,Yemen
32.16631296,69.58800316,Ghwa Khwa,Pakistan
32.33167334,69.51152802,Shalam Raghzai,Pakistan
32.33994071,69.49659348,Wacha Dana,Pakistan
32.82478811,69.59014893,Darnashtra,Pakistan
32.30563347,69.56388474,Zoynari,Pakistan
33.01873964,69.65881348,Shawal,Pakistan
13.129616,45.381295,Zinjibar,Yemen
13.612304,46.106282,Raia,Yemen
32.30512565,69.57624435,Wana,Pakistan
32.32297004,69.55530167,Karez,Pakistan
32.95826549,70.24108887,Mir Ali,Pakistan
13.218055,45.307832,Jaar,Yemen
33.52193394,70.27610779,Khardand,Pakistan
